Hand,RAISE 100,CALL,FOLD,RAISE 100 EV,CALL EV,FOLD EV
8s3h,0.03662109,0.02441406,99.9389648,-5.1891327,-3.9547014,0.00000095
8s4h,0.03662109,0.05950928,99.9038696,-3.1425285,-2.3874674,0
8s5h,0.19226074,0.18920898,99.6185303,-1.4554729,-0.7637186,0.00000095
8s6h,25.8056641,73.7548947,0.4394412,0.64117622,0.64038181,-0.000001
8s7h,21.4111328,78.540051,0.0488162,1.72278309,1.72175694,0.00000095
8s8h,99.7741818,0.22583008,0,26.5263481,24.8360252,0
8s2s,0.26245117,0.34942627,99.3881226,-0.6302071,-0.0873127,0
8s3s,0.45013428,97.7539182,1.79594755,0.06282616,0.20840645,-0.000001
8s4s,24.3530273,75.5737424,0.07323027,1.44544888,1.44209957,0.00000095
8s5s,50.5859494,49.3896484,0.02440214,4.25768137,4.24138832,-0.000001
8s6s,97.2381711,2.76184082,0,6.10333371,5.85185385,-0.000001
8s7s,77.6367307,22.3632812,0,6.80717325,6.79115272,0
9s2c,0.01525879,0.03662109,99.9481201,-4.2035456,-2.9338837,0
9s3c,0.03662109,0.06256104,99.9008179,-3.8875389,-2.9280901,-0.000001
9s4c,0.03662109,0.06256104,99.9008179,-3.320056,-2.2083912,0
9s5c,0.03662109,0.05950928,99.9038696,-2.3368206,-1.519681,0
9s6c,0.16784668,53.2959104,46.536243,-0.1981306,0.00158501,0
9s7c,20.5566406,79.3823361,0.06102324,1.23040104,1.22898674,0
9s8c,14.9780273,84.9975705,0.02440214,3.71402311,3.71287107,0
9s9c,99.9847412,0.01525879,0,32.3906136,28.4376087,0
9s2d,0.01525879,0.03662109,99.9481201,-4.2035456,-2.9338837,0
9s3d,0.03662109,0.06256104,99.9008179,-3.8875389,-2.9280901,-0.000001
9s4d,0.03662109,0.06256104,99.9008179,-3.320056,-2.2083912,0
9s5d,0.03662109,0.05950928,99.9038696,-2.3368206,-1.519681,0
9s6d,0.16784668,53.2959104,46.536243,-0.1981306,0.00158501,0
9s7d,20.5566406,79.3823361,0.06102324,1.23040104,1.22898674,0
9s8d,14.9780273,84.9975705,0.02440214,3.71402311,3.71287107,0
9s9d,99.9847412,0.01525879,0,32.3906136,28.4376087,0
9s2h,0.01525879,0.03662109,99.9481201,-4.2035456,-2.9338837,0
9s3h,0.03662109,0.06256104,99.9008179,-3.8875389,-2.9280901,-0.000001
9s4h,0.03662109,0.06256104,99.9008179,-3.320056,-2.2083912,0
9s5h,0.03662109,0.05950928,99.9038696,-2.3368206,-1.519681,0
9s6h,0.16784668,53.2959104,46.536243,-0.1981306,0.00158501,0
9s7h,20.5566406,79.3823361,0.06102324,1.23040104,1.22898674,0
9s8h,14.9780273,84.9975705,0.02440214,3.71402311,3.71287107,0
